Location	File_Name	start	end	min_freq	max_freq	certainty	call_type	species	Noise_Types	Noise_Level
Grono	010419_221503.wav.data	22:29:26	22:30:02	1644.0	2813.0	100	M	K-Far	["Wind", "Other"]	Low
Grono	010419_221503.wav.data	22:29:26	22:30:02	1644.0	2813.0	100	M	K-Set	["Wind", "Other"]	Low
Grono	010419_221503.wav.data	22:29:26	22:30:02	1644.0	2813.0	100	M	K-M	["Wind", "Other"]	Low
Grono	010419_221503.wav.data	22:23:58	22:24:19	1981.0	3058.0	100	M	K-Set	["Wind", "Other"]	Low
Grono	010419_221503.wav.data	22:23:58	22:24:19	1981.0	3058.0	100	M	K-Ok	["Wind", "Other"]	Low
Grono	010419_221503.wav.data	22:23:58	22:24:19	1981.0	3058.0	100	M	K-M	["Wind", "Other"]	Low
Grono	010519_224502.wav.data	22:48:13	22:48:36	1954.0	2900.0	100	M	K-Set	["Wind", "Wind Gusts", "Other"]	Low
Grono	010519_224502.wav.data	22:48:13	22:48:36	1954.0	2900.0	100	M	K-Far	["Wind", "Wind Gusts", "Other"]	Low
Grono	010519_224502.wav.data	22:48:13	22:48:36	1954.0	2900.0	100	M	K-M	["Wind", "Wind Gusts", "Other"]	Low
Grono	010519_224502.wav.data	22:55:24	22:55:52	1911.0	3139.0	100	M	K-Set	["Wind", "Wind Gusts", "Other"]	Low
Grono	010519_224502.wav.data	22:55:24	22:55:52	1911.0	3139.0	100	M	K-M	["Wind", "Wind Gusts", "Other"]	Low
Grono	010519_224502.wav.data	22:55:24	22:55:52	1911.0	3139.0	100	M	K-F	["Wind", "Wind Gusts", "Other"]	Low
Grono	010519_233002.wav.data	23:42:52	23:43:19	1835.921875	3544.0	100	M	K-Set	["Wind", "Wind Gusts"]	High
Grono	010519_233002.wav.data	23:42:52	23:43:19	1835.921875	3544.0	100	M	K-M	["Wind", "Wind Gusts"]	High
Grono	010519_233002.wav.data	23:42:52	23:43:19	1835.921875	3544.0	100	M	K-Ok	["Wind", "Wind Gusts"]	High
Grono	010519_233002.wav.data	23:44:52	23:45:02	1469.0	2714.0	100	M	K-Ok	["Wind", "Wind Gusts"]	High
Grono	010519_233002.wav.data	23:44:52	23:45:02	1469.0	2714.0	100	M	K-M	["Wind", "Wind Gusts"]	High
