File Name,Label,Comment,Image,Audio,Call Type,Length (seconds),Start Time,Trap Number,Collaborators
Crossroad-010519_223002-S838-E859,Junk,,Crossroad-010519_223002-S838-E859.png (https://dl.airtable.com/.attachments/2d22dff5d0080dda4cbd66ee1bb55286/d388f079/Crossroad-010519_223002-S838-E859.png),Crossroad-010519_223002-S838-E859.wav (https://dl.airtable.com/.attachments/57608057725f9d938fa056507fb5de05/3e78cc2b/Crossroad-010519_223002-S838-E859.wav),Male,21.0,2019-05-02 10:44,Secretary_Island/Crossroad,
Crossroad-010519_223002-S871-E898,Junk,,Crossroad-010519_223002-S871-E898.png (https://dl.airtable.com/.attachments/6e942640dc70471c6641f71519133303/3d1d6455/Crossroad-010519_223002-S871-E898.png),Crossroad-010519_223002-S871-E898.wav (https://dl.airtable.com/.attachments/d1e9a69aff1e83d64660f1059585dbcb/db38fd4e/Crossroad-010519_223002-S871-E898.wav),Male,27.0,2019-05-02 10:44,Secretary_Island/Crossroad,
Crossroad-010519_224502-S73-E90,Junk,,Crossroad-010519_224502-S73-E90.png (https://dl.airtable.com/.attachments/e0c0a03c2bacccc775619ef35070f223/4664726f/Crossroad-010519_224502-S73-E90.png),Crossroad-010519_224502-S73-E90.wav (https://dl.airtable.com/.attachments/b163fb2e67eb87d46d46b655fc2ad652/41a75224/Crossroad-010519_224502-S73-E90.wav),Male,17.0,2019-05-02 10:46,Secretary_Island/Crossroad,
Crossroad-010519_224502-S876-E888,Junk,,Crossroad-010519_224502-S876-E888.png (https://dl.airtable.com/.attachments/e2adaaa833b08f42141073d02d5d1571/4bcf4aea/Crossroad-010519_224502-S876-E888.png),Crossroad-010519_224502-S876-E888.wav (https://dl.airtable.com/.attachments/1c35068d32a32a9e2304d1d8e2eb08eb/83b07ab4/Crossroad-010519_224502-S876-E888.wav),Male,12.0,2019-05-02 10:59,Secretary_Island/Crossroad,
Crossroad-010519_224502-S890-E897,Junk,,Crossroad-010519_224502-S890-E897.png (https://dl.airtable.com/.attachments/47a179f59fe171e683f67b4e8570dcea/f8b575a2/Crossroad-010519_224502-S890-E897.png),Crossroad-010519_224502-S890-E897.wav (https://dl.airtable.com/.attachments/b5a2ea53400da9363ce16b3b57279f41/6d531172/Crossroad-010519_224502-S890-E897.wav),Male,7.0,2019-05-02 10:59,Secretary_Island/Crossroad,
Crossroad-010519_230002-S55-E68,Junk,,Crossroad-010519_230002-S55-E68.png (https://dl.airtable.com/.attachments/67bf85e70e116886b81875ea61e27d37/8b50128f/Crossroad-010519_230002-S55-E68.png),Crossroad-010519_230002-S55-E68.wav (https://dl.airtable.com/.attachments/265009c324666494844c43ec3348e552/58f56f2a/Crossroad-010519_230002-S55-E68.wav),Male,13.0,2019-05-02 11:00,Secretary_Island/Crossroad,
Crossroad-010519_230002-S77-E90,Junk,,Crossroad-010519_230002-S77-E90.png (https://dl.airtable.com/.attachments/bb303d9e099b4431d03d575ac7730735/365f1afb/Crossroad-010519_230002-S77-E90.png),Crossroad-010519_230002-S77-E90.wav (https://dl.airtable.com/.attachments/caa68f7dc876295556b847f8e5311dd3/a1186208/Crossroad-010519_230002-S77-E90.wav),Male,13.0,2019-05-02 11:01,Secretary_Island/Crossroad,
Crossroad-010519_230002-S556-E565,Junk,,Crossroad-010519_230002-S556-E565.png (https://dl.airtable.com/.attachments/c059e83c8e76cfafeb6a94740af4d4fb/4ee9c1f6/Crossroad-010519_230002-S556-E565.png),Crossroad-010519_230002-S556-E565.wav (https://dl.airtable.com/.attachments/7027d9edc5be3eb5dd298e7ab8dbe5f7/e3a36634/Crossroad-010519_230002-S556-E565.wav),Male,9.0,2019-05-02 11:09,Secretary_Island/Crossroad,
Crossroad-010519_230002-S635-E641,Junk,,Crossroad-010519_230002-S635-E641.png (https://dl.airtable.com/.attachments/1648e8850fd2a2f223b525391ab7e5b9/fc16096c/Crossroad-010519_230002-S635-E641.png),Crossroad-010519_230002-S635-E641.wav (https://dl.airtable.com/.attachments/d583eb43449be121ae0a4af5c22ca170/4d45ebe5/Crossroad-010519_230002-S635-E641.wav),Male,6.0,2019-05-02 11:10,Secretary_Island/Crossroad,
Crossroad-010519_230002-S659-E665,Junk,,Crossroad-010519_230002-S659-E665.png (https://dl.airtable.com/.attachments/73129065e3c3dfef61764a91914594ce/15660cdd/Crossroad-010519_230002-S659-E665.png),Crossroad-010519_230002-S659-E665.wav (https://dl.airtable.com/.attachments/f44e38ba5bf00754ddfb90b85cd9a100/3d11fd62/Crossroad-010519_230002-S659-E665.wav),Male,6.0,2019-05-02 11:11,Secretary_Island/Crossroad,
